ID|DICE|INDEX
1|Grey|1
2|Grey|1
3|Grey|1
4|Grey|1
5|Brown|1
6|Brown|1
7|Brown|1
8|Brown|1
9|Grey|1
10|Grey|1
11|Grey|1
12|Grey|1
13|Grey|1
14|Grey|1
15|Grey|1
16|Grey|1
17|Grey|1
18|Grey|1
19|Black|1
20|Black|1
21|Grey|1
22|Grey|1
23|Black|1
24|Black|1
25|Black|1
26|Black|1
27|Black|1
28|Black|1
29|Black|1
30|Black|1
31|Grey|1
32|Grey|1
33|Grey|1
34|Grey|1
35|Black|1
36|Black|1
37|Grey|1
38|Grey|1
39|Grey|1
40|Grey|1
41|Black|1
42|Black|1
43|Black|1
44|Black|1
15|Brown|2
16|Brown|2
21|Grey|2
22|Grey|2
23|Grey|2
24|Grey|2
28|Brown|2
31|Grey|2
32|Grey|2
33|Grey|2
34|Grey|2
35|Grey|2
36|Grey|2
43|Brown|2
44|Grey|2
